,Head x,Head y,Neck x,Neck y,Torso x,Torso y,Tailhead x,Tailhead y,warped Head x,warped Head y,warped Neck x,warped Neck y,warped Torso x,warped Torso y,warped Tailhead x,warped Tailhead y,Elapsed Time,decision
6522,91.06607056,128.1560364,84.12634277,128.3807831,72.7937088,128.1687012,63.82612991,127.4582748,299.3832366,132.5398652,299.6760916,138.4767042,299.4937989,148.7932303,298.8466969,157.0655003,0.1,
6523,94.94005585,128.2261047,88.16955566,128.5981445,76.69792938,128.5633545,67.92789459,127.8500214,299.494557,129.0102187,299.9039689,134.7508643,299.8826781,145.4663827,299.1683026,153.4439474,0.133333333,
6524,96.54935455,128.1574707,91.76641083,128.6126862,80.19631958,128.7826843,71.39454651,127.8643646,299.5482894,126.5298562,299.9542754,131.3622688,300.0953413,142.0784028,299.1603179,150.0368692,0.166666667,
6525,99.89704132,128.0100403,95.28884125,128.5850067,83.98673248,128.7590637,75.04145813,127.5499344,299.5840136,123.8164168,299.9506882,128.0776044,300.1200106,138.5584674,298.9459229,146.644497,0.2,
6526,103.8467789,128.2442932,99.19367218,128.6508789,88.12020874,128.8005371,79.21324921,128.0097809,299.6049781,120.2359173,299.9649642,124.5045308,300.1098635,134.6679995,299.2634475,143.0530292,0.233333333,
6527,108.4972,128.2424774,103.8055115,128.55159,92.5776825,128.7038879,83.18994141,127.9218979,299.5228381,115.4305859,299.8994491,120.3194239,300.0978908,130.1071164,299.3117997,139.0784825,0.266666667,
6528,115.8613052,128.1131897,108.9883041,128.4069519,99.55015564,128.8551331,88.14003754,128.4966888,299.2224568,109.2959903,299.7046067,115.1614241,300.1544639,124.7468987,299.8189881,134.1928006,0.3,
6529,123.2986374,127.4466782,116.4209747,127.9527283,104.9409485,128.6893463,95.80706787,128.812851,298.6224448,102.9231138,299.3254781,108.7342373,299.9737608,118.8661469,300.0953076,128.3935756,0.333333333,
6530,128.475647,127.0596008,123.7068024,127.4393158,112.2031631,128.1730957,100.9180374,128.3585815,297.7342476,96.85367613,298.8233093,101.8607397,299.5382682,112.3522003,299.7537317,122.5104126,0.366666667,
6531,136.2274475,124.7240295,131.3292389,126.9582214,119.8231812,127.8914871,108.3396072,128.5287476,296.6949489,90.14561164,297.9686957,95.21109273,299.2595985,105.3718482,299.8216357,115.9880358,0.4,
6532,143.9437866,124.4843597,137.0195313,124.9952087,127.4366837,127.9354706,115.9741592,128.5155029,295.8193908,83.13881742,296.578251,89.03431454,299.275326,98.39327512,299.8967029,108.8523019,0.433333333,
6533,151.3996277,123.6331482,144.5767822,124.4845581,135.3033905,128.0418854,124.1134338,128.7478027,295.2469502,76.80615693,295.7916765,82.56664849,299.286747,92.06871325,300.0188324,101.7423916,0.466666667,
6534,156.174881,123.577095,151.4883423,124.3256989,140.1993713,127.6205826,130.9937134,128.0704651,295.0219228,71.71518695,295.5898332,76.61782615,298.9964391,86.93164043,299.4356281,95.74918654,0.5,
6535,160.9519196,123.5950928,156.0758514,124.2957077,144.4566193,127.399231,135.0363617,127.601738,295.064599,66.88248468,295.5853061,71.88200092,298.7005198,82.53432794,298.9242224,91.29104633,0.533333333,
6536,167.8388367,123.9943314,160.6768188,124.2965622,148.8639832,127.1077805,139.3198853,127.2805252,295.2025147,61.54823558,295.624298,67.1828369,298.5041652,78.00757088,298.5998079,87.38095389,0.566666667,
